Food,Calories,Protein,Carbs,Fats,Meal,Type,Veg/Non-Veg
Chapati with scrambled eggs,220,10,30,8,Lunch,Base,Non-Veg
Egg curry,250,10,35,8,Lunch,Side,Non-Veg
Mixed veg curry,150,4,18,6,Lunch,Side,Veg
 Grilled cheese sandwich,350,10,35,20,Lunch,Base,Veg
Chilli paneer,300,15,20,18,Lunch,Side,Veg
 Chicken sandwich,320,15,35,12,Lunch,Base,Non-Veg
Tomato uttapam,200,6,30,7,Lunch,Base,Veg
 Egg mayo sandwich,300,12,30,15,Lunch,Base,Non-Veg
Onion parantha,250,6,35,10,Lunch,Base,Veg
 Paneer kathi roll,350,12,40,15,Lunch,Base,Veg
Veg biryani,200,5,35,6,Lunch,Base,Veg
 Falafel wrap,300,10,40,12,Lunch,Base,Veg
 Burrito (Mexican wrap),350,12,45,12,Lunch,Base,Veg
Pizza,280,10,35,12,Lunch,Base,Veg
Grilled cheese sandwich,350,10,35,20,Lunch,Base,Veg
 Burger ,300,12,40,10,Lunch,Base,Veg
 Hot dog,290,10,30,15,Lunch,Base,Non-Veg
 Chicken nuggets with fries,350,15,30,20,Lunch,Base,Non-Veg
Manchurian,280,8,35,12,Lunch,Base,Veg
Club sandwich,320,12,35,12,Lunch,Base,Veg
Fresh fruit juice,50,0.5,12,0.1,Lunch,Side,Veg
Cold coffee,90,3,15,2,Lunch,Side,Veg
Smoothie,120,3,25,2,Lunch,Side,Veg
Lemonade,40,0.5,10,0,Lunch,Side,Veg
Green tea,0,0,0,0,Lunch,Side,Veg
Iced tea,30,0,8,0,Lunch,Side,Veg
Soft drinks,90,0,25,0,Lunch,Side,Veg
Sweet/Salted Lassi,125,4,15,4.5,Lunch,Side,Veg
Plain rice with dal,146,7,24,2.6,Dinner,Base,Veg
Jeera rice ,160,2,24,6,Dinner,Base,Veg
Vegetable biryani,130,3,23,2.5,Dinner,Base,Veg
Chicken biryani,139,6,19,4,Dinner,Base,Non Veg
Mutton biryani,141,6,19,4,Dinner,Base,Non Veg
Matar pulao,115,3,21,2,Dinner,Base,Veg
Lemon rice,146,3,31,0.5,Dinner,Base,Veg
Tamarind rice,150,3,27,3,Dinner,Base,Veg
Sambhar rice,90,3,16,2,Dinner,Base,Veg
Curd rice,130,5.7,18,4,Dinner,Base,Veg
Curry rice,153,5,25.5,4,Dinner,Base,Veg
Fried rice ,168,6,21,6,Dinner,Base,Veg
Sushi with vegetables,145,3,31.6,0.2,Dinner,Base,Veg
Cheese risotto,174,7,21.6,6.4,Dinner,Base,Veg
Tomato soup,42,1.2,7,1.2,Dinner,Side,Veg
Chapati,170,6,32,1.5,Dinner,Base,Veg
Dal makhani,181,6.7,20,8.7,Dinner,Side,Veg
Lachha parantha ,268,4.4,39,10,Dinner,Base,Veg
Roti with chicken curry,215.5,9,24,9,Dinner,Base,Non Veg
Dal tadka,130,6,16,5.4,Dinner,Side,Veg
Dal palak,116,6.5,17,3,Dinner,Side,Veg
Methi thepla with pickles,379,10,51,15,Dinner,Base,Veg
Dinner rolls,300,8,50,7,Dinner,Side,Veg
Moong dal dosa,181,7,31,3.5,Dinner,Base,Veg
Khichdi,116,4,23,1,Dinner,Base,Veg
Egg fried rice,140,4.6,19.6,4.5,Dinner,Base,Non Veg
Tandoori roti,283,11,58.5,2,Dinner,Base,Veg
Chicken curry,124,11,5,6.6,Dinner,Side,Non Veg
